Phase,AvgPowerMW,StdDevPowerMW,MinPowerMW,MaxPowerMW,AvgThroughputMbps,StdDevThroughputMbps,DurationSeconds,DataPoints,EfficiencyMbpsPerW
Pre-Test Baseline,4431.8,19.2,4360.0,4500.0,0.0,0.0,595,120,0.00
Ethernet,4799.5,50.3,4430.0,4860.0,1142.1,2137.5,1190,239,237.96
Ethernet 5,5055.2,255.4,4790.0,5650.0,2483.3,5204.1,1195,240,491.24
Ethernet 6,5039.7,54.3,5000.0,5290.0,1985.0,3395.4,1195,240,393.88
Ethernet 7,5132.2,49.5,5000.0,5220.0,1826.8,3111.1,1200,241,355.94
Post-Test Baseline,4531.4,223.2,4360.0,5140.0,0.0,0.0,1195,240,0.00
